env_steps,mean_episode_reward
10000,-20.8182
20000,-20.5714
30000,-20.4688
40000,-20.3721
50000,-20.4259
60000,-20.3438
70000,-20.3200
80000,-20.3488
90000,-20.3854
100000,-20.3200
110000,-20.3000
120000,-20.3100
130000,-20.3500
140000,-20.3600
150000,-20.3600
160000,-20.4400
170000,-20.4200
180000,-20.4300
190000,-20.4500
200000,-20.5000
210000,-20.4300
220000,-20.4400
230000,-20.3800
240000,-20.3600
250000,-20.3800
260000,-20.3700
270000,-20.3000
280000,-20.3000
290000,-20.2700
300000,-20.3400
310000,-20.3700
320000,-20.4400
330000,-20.4600
340000,-20.4900
350000,-20.5500
360000,-20.5700
370000,-20.5700
380000,-20.5500
390000,-20.5100
400000,-20.5400
410000,-20.5400
420000,-20.5600
430000,-20.5500
440000,-20.5300
450000,-20.5400
460000,-20.5300
470000,-20.5700
480000,-20.5800
490000,-20.5900
500000,-20.5800
510000,-20.5600
520000,-20.5800
530000,-20.6000
540000,-20.5300
550000,-20.5500
560000,-20.5300
570000,-20.5400
580000,-20.6100
590000,-20.5700
600000,-20.5900
610000,-20.6000
620000,-20.6100
630000,-20.6300
640000,-20.5900
650000,-20.6500
660000,-20.6100
670000,-20.6000
680000,-20.5900
690000,-20.5700
700000,-20.5600
710000,-20.5700
720000,-20.5600
730000,-20.6000
740000,-20.6000
750000,-20.6200
760000,-20.6400
770000,-20.6600
780000,-20.6700
790000,-20.6400
800000,-20.6300
810000,-20.6400
820000,-20.6600
830000,-20.6700
840000,-20.6900
850000,-20.7100
860000,-20.7100
870000,-20.7600
880000,-20.8000
890000,-20.8300
900000,-20.8000
910000,-20.8100
920000,-20.8100
930000,-20.8000
940000,-20.8100
950000,-20.8200
960000,-20.8300
970000,-20.8200
980000,-20.7900
990000,-20.8500
1000000,-20.8200
1010000,-20.8300
1020000,-20.8100
1030000,-20.7800
1040000,-20.7800
1050000,-20.8100
1060000,-20.8400
1070000,-20.8200
1080000,-20.8100
1090000,-20.8400
1100000,-20.8800
1110000,-20.9200
1120000,-20.9100
1130000,-20.9100
1140000,-20.9000
1150000,-20.8700
1160000,-20.8800
1170000,-20.8600
1180000,-20.8500
1190000,-20.8400
1200000,-20.8200
1210000,-20.8100
1220000,-20.8100
1230000,-20.8500
1240000,-20.8200
1250000,-20.8100
1260000,-20.8300
1270000,-20.8100
1280000,-20.8000
1290000,-20.8300
1300000,-20.8300
1310000,-20.8200
1320000,-20.8500
1330000,-20.8600
1340000,-20.8600
1350000,-20.8700
1360000,-20.8800
1370000,-20.8800
1380000,-20.8700
1390000,-20.8800
1400000,-20.8900
1410000,-20.8800
1420000,-20.8700
1430000,-20.8700
1440000,-20.8900
1450000,-20.9000
1460000,-20.9000
1470000,-20.8800
1480000,-20.8600
1490000,-20.8400
1500000,-20.8600
1510000,-20.8300
1520000,-20.8200
1530000,-20.7700
1540000,-20.7700
1550000,-20.7700
1560000,-20.7600
1570000,-20.8000
1580000,-20.7800
1590000,-20.7700
1600000,-20.7400
1610000,-20.7600
1620000,-20.7600
1630000,-20.7500
1640000,-20.7700
1650000,-20.7600
1660000,-20.7800
1670000,-20.7800
1680000,-20.8200
1690000,-20.8100
1700000,-20.8200
1710000,-20.8100
1720000,-20.8300
1730000,-20.8300
1740000,-20.8300
1750000,-20.8700
1760000,-20.8500
1770000,-20.8500
1780000,-20.8600
1790000,-20.8700
1800000,-20.8500
1810000,-20.8700
1820000,-20.8500
1830000,-20.8300
1840000,-20.8000
1850000,-20.8100
1860000,-20.8000
1870000,-20.7900
1880000,-20.7900
1890000,-20.8000
1900000,-20.8000
1910000,-20.8100
1920000,-20.8500
1930000,-20.8600
1940000,-20.8700
1950000,-20.8800
1960000,-20.8800
1970000,-20.8800
1980000,-20.8500
1990000,-20.8400
2000000,-20.8100
2010000,-20.8000
2020000,-20.8100
2030000,-20.8100
2040000,-20.8100
2050000,-20.8100
2060000,-20.8300
2070000,-20.8100
2080000,-20.8300
2090000,-20.8300
2100000,-20.8400
2110000,-20.8100
2120000,-20.8000
2130000,-20.7900
2140000,-20.7800
2150000,-20.8100
2160000,-20.8200
2170000,-20.8000
2180000,-20.7900
2190000,-20.8000
2200000,-20.7700
2210000,-20.7600
2220000,-20.7800
2230000,-20.7600
2240000,-20.7600
2250000,-20.7400
2260000,-20.7500
2270000,-20.7600
2280000,-20.8000
2290000,-20.8300
2300000,-20.8400
2310000,-20.8200
2320000,-20.8000
2330000,-20.8200
2340000,-20.8000
2350000,-20.8200
2360000,-20.8200
2370000,-20.7600
2380000,-20.7700
2390000,-20.7600
