env_steps,mean_episode_reward
10000,-20.8182
20000,-20.6364
30000,-20.5294
40000,-20.5778
50000,-20.5714
60000,-20.4545
70000,-20.4615
80000,-20.4045
90000,-20.4242
100000,-20.3700
110000,-20.3600
120000,-20.3800
130000,-20.3300
140000,-20.3200
150000,-20.2700
160000,-20.2800
170000,-20.2500
180000,-20.2100
190000,-20.1500
200000,-20.0900
210000,-20.0500
220000,-19.9600
230000,-19.9400
240000,-19.8800
250000,-19.8800
260000,-19.9000
270000,-19.9100
280000,-19.8700
290000,-19.9000
300000,-19.9000
310000,-19.8700
320000,-19.8300
330000,-19.8900
340000,-19.8000
350000,-19.7600
360000,-19.7400
370000,-19.6800
380000,-19.6800
390000,-19.6500
400000,-19.5800
410000,-19.5100
420000,-19.4600
430000,-19.4500
440000,-19.4100
450000,-19.4200
460000,-19.4800
470000,-19.4800
480000,-19.4100
490000,-19.4300
500000,-19.3200
510000,-19.1700
520000,-19.1000
530000,-19.0700
540000,-19.1200
550000,-19.0200
560000,-19.0600
570000,-19.0700
580000,-19.0100
590000,-18.9200
600000,-18.8300
610000,-18.6400
620000,-18.6200
630000,-18.4900
640000,-18.4200
650000,-18.4300
660000,-18.3400
670000,-18.3000
680000,-18.2400
690000,-18.1400
700000,-18.0800
710000,-17.9900
720000,-17.8200
730000,-17.8000
740000,-17.6900
750000,-17.6200
760000,-17.4900
770000,-17.5100
780000,-17.3200
790000,-17.2900
800000,-17.2500
810000,-17.0400
820000,-17.0900
830000,-16.9400
840000,-16.8000
850000,-16.5700
860000,-16.4200
870000,-16.3800
880000,-16.3100
890000,-16.0900
900000,-16.0400
910000,-15.8500
920000,-15.7000
930000,-15.5500
940000,-15.3600
950000,-15.3100
960000,-15.3400
970000,-15.2600
980000,-15.1200
990000,-15.0000
1000000,-14.7600
1010000,-14.7700
1020000,-14.6100
1030000,-14.4800
1040000,-14.3500
1050000,-14.2500
1060000,-14.1700
1070000,-14.0800
1080000,-13.8100
1090000,-13.5900
1100000,-13.4600
1110000,-13.4500
1120000,-13.4200
1130000,-13.1400
1140000,-13.0800
1150000,-12.9300
1160000,-12.8900
1170000,-12.6600
1180000,-12.4000
1190000,-12.2600
1200000,-12.1800
1210000,-11.9600
1220000,-11.7200
1230000,-11.6700
1240000,-11.5400
1250000,-11.3000
1260000,-11.2600
1270000,-11.1100
1280000,-10.9300
1290000,-10.8100
1300000,-10.8100
1310000,-10.7900
1320000,-10.6700
1330000,-10.6400
1340000,-10.6500
1350000,-10.6800
1360000,-10.6300
1370000,-10.5400
1380000,-10.5300
1390000,-10.3900
1400000,-10.4000
1410000,-10.1400
1420000,-10.0400
1430000,-9.9300
1440000,-9.7400
1450000,-9.5600
1460000,-9.5200
1470000,-9.5600
1480000,-9.4800
1490000,-9.5000
1500000,-9.4100
1510000,-9.3600
1520000,-9.2600
1530000,-9.3500
1540000,-9.4300
1550000,-9.2600
1560000,-9.0500
1570000,-9.0600
1580000,-9.0400
1590000,-8.9900
1600000,-8.9100
1610000,-8.8100
1620000,-8.7200
1630000,-8.9600
1640000,-9.0000
1650000,-9.0200
1660000,-8.8400
1670000,-8.8500
1680000,-9.0000
1690000,-9.2100
1700000,-9.1500
1710000,-9.2100
1720000,-9.3400
1730000,-9.2600
1740000,-9.1900
1750000,-8.9900
1760000,-9.0100
1770000,-8.9700
1780000,-8.9300
1790000,-8.9200
1800000,-8.8500
1810000,-9.2000
1820000,-9.2000
1830000,-9.2400
1840000,-9.0200
1850000,-9.0200
1860000,-9.0600
1870000,-9.0500
1880000,-8.9200
1890000,-8.6500
1900000,-8.7300
1910000,-8.3400
1920000,-8.4100
1930000,-8.5000
1940000,-8.3700
1950000,-8.1700
1960000,-8.2700
1970000,-7.9500
1980000,-7.8900
1990000,-7.9500
2000000,-7.9400
2010000,-7.9900
2020000,-7.9700
2030000,-8.0000
2040000,-7.9500
2050000,-7.9900
2060000,-8.0000
2070000,-7.8500
2080000,-7.9000
2090000,-7.9400
2100000,-7.9600
2110000,-8.0100
2120000,-7.9200
2130000,-7.8100
2140000,-7.9200
2150000,-8.0300
2160000,-7.7700
2170000,-8.0300
2180000,-7.9800
2190000,-7.9500
2200000,-8.0100
2210000,-7.9600
2220000,-7.7800
2230000,-7.9000
2240000,-7.9000
2250000,-7.9000
2260000,-8.0800
2270000,-8.1600
2280000,-8.1500
2290000,-8.2000
2300000,-8.2800
2310000,-8.1800
2320000,-8.3400
2330000,-8.1600
2340000,-8.2200
2350000,-8.1200
2360000,-8.1900
2370000,-8.2400
2380000,-8.1000
2390000,-7.9500
2400000,-7.8100
2410000,-7.6600
2420000,-7.8100
2430000,-7.7500
2440000,-7.7500
2450000,-8.0600
2460000,-8.1500
2470000,-8.0100
2480000,-8.3700
2490000,-8.4500
2500000,-8.3600
2510000,-8.4400
2520000,-8.3600
2530000,-8.2900
2540000,-8.0400
2550000,-8.1100
2560000,-8.0900
2570000,-8.1900
2580000,-8.2000
2590000,-8.2200
2600000,-8.1600
2610000,-8.0100
2620000,-8.0800
2630000,-8.2100
2640000,-8.3900
2650000,-8.3700
2660000,-8.5100
2670000,-8.5600
2680000,-8.5000
2690000,-8.6500
2700000,-8.3600
2710000,-8.2500
2720000,-8.0100
2730000,-8.2800
2740000,-8.1900
2750000,-8.1300
2760000,-8.2300
2770000,-7.9700
2780000,-7.8400
2790000,-7.8400
2800000,-7.7700
2810000,-7.7500
2820000,-7.6100
2830000,-7.4600
2840000,-7.5000
2850000,-7.0200
2860000,-7.0700
2870000,-6.9600
2880000,-6.9300
2890000,-6.9600
2900000,-6.8000
2910000,-6.7800
2920000,-6.8800
2930000,-6.7700
2940000,-6.7700
