env_steps,mean_episode_reward
10000,-20.6364
20000,-20.4545
30000,-20.5152
40000,-20.5000
50000,-20.4815
60000,-20.4308
70000,-20.4079
80000,-20.4253
90000,-20.4021
100000,-20.3500
110000,-20.3200
120000,-20.3300
130000,-20.3100
140000,-20.2700
150000,-20.2300
160000,-20.1900
170000,-20.1900
180000,-20.1900
190000,-20.1800
200000,-20.1800
210000,-20.1300
220000,-20.0700
230000,-20.0500
240000,-19.9800
250000,-19.9400
260000,-19.9700
270000,-19.9300
280000,-19.8800
290000,-19.8600
300000,-19.7000
310000,-19.6400
320000,-19.6600
330000,-19.6300
340000,-19.5900
350000,-19.5600
360000,-19.5100
370000,-19.3800
380000,-19.3600
390000,-19.3300
400000,-19.2800
410000,-19.3300
420000,-19.2900
430000,-19.2500
440000,-19.2300
450000,-19.2300
460000,-19.2100
470000,-19.1800
480000,-19.1500
490000,-19.1100
500000,-19.0900
510000,-19.0900
520000,-19.0400
530000,-19.0100
540000,-18.9500
550000,-18.9700
560000,-19.0300
570000,-18.9500
580000,-18.8900
590000,-18.8400
600000,-18.8000
610000,-18.6900
620000,-18.6700
630000,-18.5500
640000,-18.4800
650000,-18.4000
660000,-18.4100
670000,-18.3400
680000,-18.3600
690000,-18.2600
700000,-18.1200
710000,-18.0100
720000,-17.9700
730000,-17.9400
740000,-17.9400
750000,-17.9200
760000,-17.8600
770000,-17.8700
780000,-17.8900
790000,-17.8600
800000,-17.7300
810000,-17.6200
820000,-17.4900
830000,-17.4300
840000,-17.4200
850000,-17.3400
860000,-17.2000
870000,-17.2300
880000,-17.1700
890000,-17.1300
900000,-17.0000
910000,-16.9600
920000,-16.9100
930000,-16.8500
940000,-16.6800
950000,-16.5500
960000,-16.3500
970000,-16.1900
980000,-16.1400
990000,-16.1100
1000000,-15.9600
1010000,-15.7300
1020000,-15.5700
1030000,-15.3000
1040000,-15.3100
1050000,-15.1900
1060000,-15.0500
1070000,-14.9800
1080000,-14.8700
1090000,-14.6500
1100000,-14.6300
1110000,-14.5500
1120000,-14.3800
1130000,-14.1600
1140000,-14.1100
1150000,-13.9400
1160000,-14.0500
1170000,-13.9200
1180000,-13.8400
1190000,-13.6200
1200000,-13.5900
1210000,-13.6000
1220000,-13.5400
1230000,-13.4300
1240000,-13.4800
1250000,-13.2700
1260000,-13.1700
1270000,-13.0400
1280000,-13.0100
1290000,-12.7000
1300000,-12.5900
1310000,-12.5400
1320000,-12.4300
1330000,-12.4000
1340000,-12.1200
1350000,-12.0700
1360000,-11.9800
1370000,-11.8800
1380000,-11.7700
1390000,-11.7800
1400000,-11.8700
1410000,-12.0200
1420000,-11.9900
1430000,-11.7900
1440000,-11.7600
1450000,-11.6400
1460000,-11.5400
1470000,-11.3500
1480000,-11.3700
1490000,-11.1000
1500000,-10.8800
1510000,-10.7700
1520000,-10.5600
1530000,-10.4900
1540000,-10.5700
1550000,-10.3300
1560000,-10.0300
1570000,-9.9400
1580000,-9.8700
1590000,-9.8600
1600000,-9.8800
1610000,-9.8300
1620000,-9.8700
1630000,-9.9500
1640000,-9.9300
1650000,-9.7300
1660000,-9.6400
1670000,-9.5700
1680000,-9.3800
1690000,-9.4800
1700000,-9.5200
1710000,-9.4800
1720000,-9.5700
1730000,-9.5300
1740000,-9.6600
1750000,-9.7100
1760000,-9.6300
1770000,-9.7200
1780000,-9.6900
1790000,-9.6800
1800000,-9.8700
1810000,-9.7600
1820000,-9.7400
1830000,-9.8400
1840000,-9.9900
1850000,-9.9700
1860000,-9.9900
1870000,-9.8100
1880000,-9.8900
1890000,-9.6700
1900000,-9.7600
1910000,-9.5300
1920000,-9.3700
1930000,-9.6600
1940000,-9.4900
1950000,-9.1900
1960000,-9.1500
1970000,-9.0900
1980000,-9.1000
1990000,-9.1800
2000000,-9.1500
2010000,-9.4600
2020000,-9.5900
2030000,-9.4300
2040000,-9.3200
2050000,-9.4200
2060000,-9.3800
2070000,-9.3900
2080000,-9.4500
2090000,-9.2600
2100000,-9.1800
2110000,-9.1700
2120000,-9.0900
2130000,-9.2200
2140000,-9.3000
2150000,-9.3200
2160000,-9.3900
2170000,-9.4600
2180000,-9.5100
2190000,-9.8400
2200000,-9.8300
2210000,-10.0300
2220000,-9.9400
2230000,-9.8900
2240000,-9.7900
2250000,-9.7500
2260000,-9.6000
2270000,-9.7500
2280000,-9.6600
2290000,-9.5900
