env_steps,mean_episode_reward
80,0.0000
1680,19.9583
3280,22.4400
4880,22.7900
6480,16.6300
8080,11.9600
9680,15.1600
11280,8.8400
12880,9.0200
14480,9.8500
16080,12.1400
17680,8.4400
19280,8.8700
20880,8.8600
22480,12.9100
24080,8.3700
25680,8.5000
27280,8.9000
28880,11.4400
30480,8.7000
32080,9.8200
33680,14.7000
35280,16.9300
36880,20.8000
38480,21.7500
40080,22.4900
41680,26.1000
43280,23.4100
44880,25.5100
46480,24.4700
48080,24.0800
49680,25.3800
51280,29.2000
52880,34.9400
54480,39.7500
56080,31.5500
57680,24.8200
59280,27.3500
60000,32.1700
